id;name;city;category;description;budget;duration_hours;best_time;tags;tips;
TAN001;Kasbah Museum;Tanger;culture;Ancien palais du sultan transformé en musée ethnographique. Admirez les mosaïques, les tapis berbères et les artefacts historiques dans un cadre architectural sublime.;medium;2;morning;tanger,culture,history,architecture,museum;Visitez tôt pour éviter la foule. Prenez un guide pour comprendre l'histoire des collections.;
TAN002;Médina de Tanger;Tanger;shopping;Labyrinthe de ruelles étroites et animées. Découvrez des échoppes d'artisanat, des épices colorées et l'atmosphère authentique de la vieille ville.;low;3.5;afternoon;tanger,shopping,culture,old town,markets;Négociez les prix, commencez à 50% du prix annoncé. Portez des chaussures confortables.;
TAN003;Grottes d'Hercule;Tanger;nature;Cavités maritimes spectaculaires avec une ouverture en forme d'Afrique. Selon la légende, Hercule s'y reposait entre ses travaux.;low;1.5;sunset;tanger,nature,beach,caves,legend;Vérifiez les horaires des marées. Le coucher de soleil offre des vues magnifiques sur l'océan.;
TAN004;Cap Spartel;Tanger;nature;Point de rencontre entre l'océan Atlantique et la mer Méditerranée. Phare historique et sentiers de randonnée côtiers.;free;2;evening;tanger,nature,hiking,lighthouse,coast;Apportez un veste, le vent peut être fort. Parfait pour la photographie panoramique.;
TAN005;American Legation Museum;Tanger;histoire;Seul monument historique américain situé hors des États-Unis. Musée dédié aux relations diplomatiques maroco-américaines.;free;1.5;afternoon;tanger,history,diplomacy,museum,architecture;Demandez la visite guidée en anglais ou français. Consultez les expositions temporaires.;
TAN006;Café Hafa;Tanger;culture;Café légendaire fondé en 1921. Terrasse en escalier avec vue sur la Méditerranée, fréquenté par artistes et écrivains célèbres.;low;1.5;sunset;tanger,cafe,view,artists,literature;Commande le thé à la menthe traditionnel. Évitez les heures de pointe (16h-18h).;
TAN007;Plage Municipale;Tanger;nature;Longue étendue de sable fin idéale pour la promenade, les sports nautiques ou la détente face au détroit de Gibraltar.;free;2.5;morning;tanger,beach,sports,relaxation,sea;Location de planches et équipements disponibles. Eaux parfois fraîches même en été.;
TAN008;Grand Socco;Tanger;histoire;Place historique et ancien marché, point de transition entre la ville nouvelle et la médina. Architecture coloniale remarquable.;free;0.5;morning;tanger,history,architecture,plaza,colonial;Observez le mélange architectural. Visitez le marché aux fleurs adjacent.;
TAN009;Musée de la Photographie;Tanger;culture;Collection unique de photographies historiques de Tanger et du Maroc du 19e siècle à nos jours.;medium;1.5;afternoon;tanger,photography,art,history,exhibitions;Photos autorisées sans flash. Vérifiez les horaires des visites guidées.;
TAN010;Forbes Museum of Military Miniatures;Tanger;histoire;Collection privée de 115 000 miniatures militaires retraçant les batailles historiques de l'Antiquité à la Seconde Guerre mondiale.;high;2;afternoon;tanger,history,military,miniatures,collection;Réservation recommandée pour les groupes. Collection impressionnante pour les amateurs d'histoire militaire.;
TAN011;Marché Central;Tanger;shopping;Marché couvert coloré offrant fruits de mer frais, épices, olives et produits locaux. Expérience sensorielle authentique.;low;1;morning;tanger,market,food,local,seafood;Visitez le matin pour les produits les plus frais. Goûtez les tapenades locales.;
TAN012;Église Saint-André;Tanger;religion;Église anglicane construite en 1894, mélange unique d'architecture islamique et chrétienne avec des citations du Coran sur les murs.;free;1;afternoon;tanger,religion,architecture,history,anglican;Remarquez les inscriptions arabes sur les arches. Jardin paisible attenant.;
TAN013;Promenade de la Corniche;Tanger;nature;Longue promenade côtière offrant des vues spectaculaires sur le détroit, parfaite pour le jogging ou les balades romantiques.;free;1.5;evening;tanger,promenade,sea,view,sunset;Meilleure visite au coucher du soleil. Nombreux cafés avec terrasses le long du parcours.;
TAN014;Dar el Makhzen;Tanger;culture;Ancien palais royal transformé en musée des arts marocains. Magnifiques jardins andalous et collections de céramiques.;medium;2;morning;tanger,palace,art,gardens,andalusian;Admirez les zelliges et les boiseries sculptées. Les jardins sont particulièrement beaux au printemps.;
TAN015;Rue de la Liberté;Tanger;shopping;Artère principale commerçante avec boutiques modernes, galeries d'art et cafés chic dans l'ancien quartier européen.;medium;1.5;afternoon;tanger,shopping,fashion,art,cafes;Parfait pour le shopping de marques internationales. Plusieurs galeries d'art contemporain à découvrir.;
TAN016;Jardin de la Mendoubia;Tanger;nature;Jardin public historique avec des arbres centenaires et un kiosque à musique. Havre de paix au cœur de la médina.;free;0.75;morning;tanger,garden,park,peace,nature;Idéal pour une pause tranquille. Les arbres offrent une ombre agréable en été.;
TAN017;Port de Tanger-Ville;Tanger;shopping;Port animé avec vue sur les ferries et l'activité maritime. Marché aux poissons et restaurants de fruits de mer frais.;low;1.5;morning;tanger,port,seafood,fishing,maritime;Assistez à la vente aux enchères du poisson tôt le matin. Restaurants recommandés pour les grillades de poisson frais.;
TAN018;Mosquée Sidi Bou Abib;Tanger;religion;Mosquée historique au minaret distinctif visible de loin. Architecture traditionnelle marocaine avec influences andalouses.;free;0.5;afternoon;tanger,mosque,architecture,religion,landmark;Visite extérieure seulement pour les non-musulmans. Meilleure vue photographique depuis la colline voisine.;
TAN019;Colline du Marshan;Tanger;nature;Point de vue panoramique sur toute la ville et le détroit. Quartier résidentiel historique avec des villas coloniales.;free;1;evening;tanger,viewpoint,panoramic,residential,colonial;Apportez des jumelles pour observer le trafic maritime. Quartier calme pour la promenade.;
TAN020;Cinéma Rif;Tanger;culture;Cinéma historique art déco rénové, maintenant centre culturel avec programmation de films indépendants et événements artistiques.;low;2;evening;tanger,cinema,art deco,culture,events;Consultez la programmation à l'avance. Café sur place avec ambiance rétro.;
TAN021;Petit Socco;Tanger;shopping;Petite place animée au cœur de la médina, ancien lieu de rencontre des écrivains et espions internationaux. Cafés historiques et ambiance nostalgique.;low;1;afternoon;tanger,plaza,history,cafe,literature;Asseyez-vous à la terrasse du Café Central. Lisez les plaques historiques sur les bâtiments.;
TAN022;Plage Merkala;Tanger;nature;Plage plus sauvage et moins fréquentée que la plage principale. Parfaite pour le surf et les bains de soleil tranquilles.;free;2;morning;tanger,beach,surf,quiet,nature;Meilleur spot de surf pour débutants. Moins d'infrastructures, apportez votre propre parasol.;
TAN023;Cap Malabata;Tanger;nature;Pointe rocheuse avec phare et vue imprenable sur l'entrée du détroit. Sentiers de randonnée côtiers spectaculaires.;free;2.5;sunset;tanger,hiking,lighthouse,cliffs,view;Chaussures de randonnée recommandées. Attention au vent sur les falaises.;
TAN024;Marché aux Puces;Tanger;shopping;Marché aux puces coloré où l'on trouve de tout : antiquités, vêtements vintage, livres anciens et objets insolites.;low;1.5;morning;tanger,flea market,vintage,antiques,bargain;Négociation essentielle. Cherchez les étals de livres anciens en français.;
TAN025;Musée d'Art Contemporain;Tanger;culture;Centre d'art présentant des œuvres d'artistes marocains et internationaux contemporains dans un bâtiment moderne.;medium;1.5;afternoon;tanger,contemporary art,exhibitions,modern,creativity;Vérifiez les expositions temporaires. Ateliers créatifs parfois organisés le week-end.;
TAN026;Tombeaux Phéniciens;Tanger;histoire;Nécropole phénicienne du 6ème siècle avant JC creusée dans la falaise avec vue sur la mer. Site archéologique fascinant.;free;1;morning;tanger,archaeology,phoenician,history,cliff;Accès par un escalier raide. Meilleure lumière pour la photographie en fin d'après-midi.;
TAN027;Baie de Tanger;Tanger;nature;Large baie naturelle offrant une vue panoramique sur toute la ville. Parfaite pour les photos de paysage et l'observation des oiseaux migrateurs.;free;1;evening;tanger,bay,panorama,birds,wildlife;Apportez des jumelles pour observer les oiseaux. Site populaire pour les photographes.;
TAN028;Souk Dakhil;Tanger;shopping;Marché couvert spécialisé dans les produits alimentaires : épices, fruits secs, huiles d'olive et pâtisseries traditionnelles.;low;1;morning;tanger,food market,spices,olive oil,sweets;Goûtez les amandes sucrées et les dattes. Demandez des échantillons avant d'acheter.;
TAN029;Villa Harris Museum;Tanger;histoire;Ancienne résidence du journaliste américain Walter Harris, transformée en musée sur l'histoire diplomatique de Tanger.;medium;1.5;afternoon;tanger,history,diplomacy,villa,colonial;Jardins bien entretenus. Collection de documents historiques uniques sur l'histoire de Tanger.;
TAN030;Jardin Ibn Khaldoun;Tanger;nature;Jardin public moderne avec fontaines, aires de jeux pour enfants et espaces de pique-nique. Parfait pour les familles.;free;1;morning;tanger,garden,family,children,picnic;Aire de jeux sécurisée. Tables de pique-nique disponibles.;
TAN031;Rue des Siaghines;Tanger;shopping;Rue des bijoutiers traditionnels spécialisée dans l'argent marocain, l'or et les pierres précieuses. Artisanat de qualité.;high;1;afternoon;tanger,jewelry,gold,silver,craftsmanship;Comparez les prix dans plusieurs boutiques. Demandez les certificats d'authenticité pour les pierres précieuses.;
TAN032;Parc Perdicaris;Tanger;nature;Parc forestier de 70 hectares avec sentiers pédestres, végétation méditerranéenne et vue sur l'océan. Ancienne propriété du diplomate grec Perdicaris.;free;2;morning;tanger,park,forest,hiking,nature;Sentiers bien balisés. Apportez de l'eau et des chaussures de marche.;
TAN033;Bibliothèque de Tanger;Tanger;culture;Bibliothèque historique abritant des manuscrits anciens et une collection importante sur l'histoire du Maroc.;free;1;afternoon;tanger,library,books,manuscripts,research;Accès limité à certaines collections. Consultation sur rendez-vous pour les documents anciens.;
TAN034;Plage Sidi Kacem;Tanger;nature;Petite plage isolée entourée de falaises, accessible par un sentier pittoresque. Eaux claires et paysage sauvage.;free;3;morning;tanger,beach,isolated,cliffs,hiking;Apportez tout ce dont vous avez besoin (nourriture, eau). Pas d'infrastructures sur place.;
TAN035;Musée des Arts Populaires;Tanger;culture;Musée consacré aux arts et traditions populaires marocains : costumes, instruments de musique, objets du quotidien.;low;1.5;afternoon;tanger,folk art,crafts,tradition,culture;Exposition permanente très pédagogique. Ateliers d'artisanat parfois organisés.;
TAN036;Marché aux Fleurs;Tanger;shopping;Marché coloré spécialisé dans les plantes méditerranéennes, fleurs locales et produits de jardinage.;low;0.75;morning;tanger,flowers,plants,market,gardening;Meilleur choix tôt le matin. Demandez conseil sur les plantes adaptées au climat local.;
TAN037;Phare de Cap Spartel;Tanger;histoire;Phare historique construit en 1864, toujours en activité. Vue à 360 degrés sur l'océan et la côte.;free;1;afternoon;tanger,lighthouse,history,view,maritime;Accès limité à l'intérieur. Meilleure vue par temps clair.;
TAN038;Galerie d'Art Delacroix;Tanger;culture;Galerie d'art moderne présentant des œuvres d'artistes marocains émergents et établis dans un espace contemporain.;free;1;afternoon;tanger,art gallery,contemporary,exhibitions,local artists;Expositions renouvelées mensuellement. Possibilité d'acheter des œuvres d'artistes locaux.;
TAN039;Forêt de Rmilate;Tanger;nature;Forêt de pins et d'eucalyptus avec sentiers de randonnée, aires de pique-nique et vue sur l'océan. Refuge pour la faune locale.;free;2.5;morning;tanger,forest,picnic,hiking,wildlife;Parfait pour un pique-nique en famille. Observez les écureuils et les oiseaux forestiers.;
TAN040;Cimetière Anglais;Tanger;histoire;Cimetière historique datant du 18ème siècle avec des tombes de diplomates, marchands et résidents étrangers de Tanger.;free;1;morning;tanger,cemetery,history,colonial,memorial;Atmosphère paisible et contemplative. Certaines inscriptions racontent des histoires fascinantes.;
TAN041;Marché de la Poterie;Tanger;shopping;Marché spécialisé dans la poterie marocaine traditionnelle : tajines, plats décorés, vases et objets en céramique.;low;1;afternoon;tanger,pottery,ceramics,crafts,traditional;Fragile, prévoyez un bon emballage. Les prix varient selon la complexité des motifs.;
TAN042;Plaza de Toros;Tanger;histoire;Ancienne arènes de corrida construite en 1950, aujourd'hui utilisée pour des événements culturels et des concerts.;free;0.5;afternoon;tanger,bullring,architecture,events,history;Visite extérieure seulement. Consultez la programmation des événements.;
TAN043;Jardin du Sultan;Tanger;nature;Jardin botanique privé avec collection de plantes exotiques, bassins à poissons et architecture paysagère raffinée.;medium;1.5;morning;tanger,botanical garden,plants,ponds,landscaping;Visite guidée recommandée. Paiement en espèces uniquement.;
TAN044;Musée de la Mer;Tanger;culture;Musée consacré à la vie marine du détroit de Gibraltar, avec aquariums et expositions sur l'écosystème maritime.;medium;2;afternoon;tanger,marine, aquarium,ecosystem,education;Idéal pour les enfants. Présentations des soigneurs à heures fixes.;
TAN045;Rue de la Kasbah;Tanger;shopping;Rue commerçante menant à la Kasbah, spécialisée dans les tapis berbères, les lanternes en cuivre et l'artisanat traditionnel.;medium;1.5;morning;tanger,carpets,crafts,shopping,traditional;Négociation courante. Examinez attentivement la qualité des tapis.;
TAN046;Point de vue des Grottes;Tanger;nature;Belvédère offrant une vue plongeante sur les Grottes d'Hercule et la côte atlantique. Parfait pour les photos.;free;0.5;sunset;tanger,viewpoint,photography,caves,cliffs;Arrivez tôt pour avoir une bonne place au coucher du soleil. Attention au vent.;
TAN047;Atelier de Tissage;Tanger;culture;Atelier traditionnel où l'on peut observer le tissage des tapis berbères selon des méthodes ancestrales.;free;1;morning;tanger,weaving,carpets,crafts,demonstration;Démonstrations gratuites. Possibilité d'acheter des tapis directement des artisans.;
TAN048;Plage Robinson;Tanger;nature;Plage isolée accessible uniquement par bateau ou sentier escarpé. Sable fin et eaux cristallines, peu fréquentée.;free;4;all day;tanger,beach,isolated,boat,crystal water;Prévoyez toute la journée. Emportez nourriture, eau et protection solaire.;
TAN049;Musée de la Monnaie;Tanger;histoire;Musée présentant l'histoire de la monnaie au Maroc, avec collection de pièces anciennes et billets historiques.;free;1;afternoon;tanger,money,coins,history,numismatics;Collection intéressante pour les amateurs. Évolution fascinante des devises marocaines.;
TAN050;Marché aux Oiseaux;Tanger;shopping;Marché traditionnel où l'on trouve des oiseaux chanteurs, des pigeons voyageurs et du matériel d'élevage.;low;1;morning;tanger,birds,market,tradition,animals;Animé surtout le week-end. Observez les passionnés échanger des conseils.;
TAN051;Jardin des Oiseaux;Tanger;nature;Parc ornithologique avec volières contenant des espèces d'oiseaux marocains et méditerranéens.;low;1.5;morning;tanger,birds,park,aviary,wildlife;Meilleure visite le matin quand les oiseaux sont actifs. Prévoyez des jumelles.;
TAN052;Galeries Lafayette;Tanger;shopping;Grand magasin à l'européenne offrant marques internationales, produits de beauté et épicerie fine.;high;2;afternoon;tanger,department store,shopping,brands,luxury;Air conditionné agréable en été. Section épicerie fine intéressante pour les produits importés.;
TAN053;Sentier Côtier;Tanger;nature;Sentier de randonnée de 8 km le long de la côte, reliant plusieurs plages et points de vue spectaculaires.;free;3;morning;tanger,hiking,coast,trail,exercise;Chaussures de randonnée indispensables. Prévoyez suffisamment d'eau.;
TAN054;Musée de la Poste;Tanger;histoire;Musée retraçant l'histoire postale du Maroc, avec collection de timbres anciens et de machines à affranchir.;free;1;afternoon;tanger,post,stamps,history,philately;Collection de timbres rares. Histoire fascinante des communications au Maroc.;
TAN055;Marché Nocturne;Tanger;shopping;Marché en plein air qui s'anime à la nuit tombée, avec food trucks, artisanat et animations musicales.;low;2;evening;tanger,night market,food,entertainment,street food;Atmosphère festive. Essayez les spécialités culinaires des différents stands.;
TAN056;Parc d'Attractions;Tanger;nature;Parc de loisirs familial avec manèges, jeux pour enfants et espaces verts. Parfait pour une journée en famille.;medium;3;all day;tanger,amusement park,family,rides,children;Billet journée économique. Évitez les week-ends très fréquentés.;
TAN057;Observatoire Astronomique;Tanger;culture;Observatoire public proposant des séances d'observation des étoiles et planètes avec télescopes professionnels.;medium;2;evening;tanger,astronomy,stars,observatory,universe;Réservation obligatoire. Meilleure visibilité par nuit sans lune.;
TAN058;Atelier de Cuivre;Tanger;shopping;Atelier où l'on peut voir les artisans travailler le cuivre et acheter des objets martelés à la main.;low;1;morning;tanger,copper,crafts,workshop,handmade;Démonstrations gratuites. Belles pièces de décoration à prix raisonnables.;
TAN059;Piscine Naturelle;Tanger;nature;Bassin naturel formé dans les rochers, rempli d'eau de mer à marée haute. Baignade sécurisée dans un cadre naturel.;free;1.5;afternoon;tanger,rock pool,swimming,nature,sea;Vérifiez les horaires des marées. Eau plus chaude que dans l'océan.;
TAN060;Musée du Costume;Tanger;culture;Musée présentant les costumes traditionnels des différentes régions du Maroc, avec explications sur les significations culturelles.;low;1.5;afternoon;tanger,costumes,tradition,textiles,culture;Détails fascinants sur les symboles et techniques de broderie. Certains costumes sont très anciens.;
TAN061;Circuit Street Art;Tanger;culture;Parcours à travers la ville pour découvrir les fresques murales et œuvres de street art d'artistes locaux et internationaux.;free;2;afternoon;tanger,street art,murals,urban,walking tour;Carte du circuit disponible à l'office de tourisme. Meilleure lumière en fin d'après-midi pour les photos.;
TAN062;Marché Bio;Tanger;shopping;Marché de produits biologiques locaux : légumes, fruits, huile d'olive et produits transformés sans pesticides.;medium;1;morning;tanger,organic,farmers market,local,healthy;Produits de saison. Rencontrez directement les producteurs.;
TAN063;Jardin Zen;Tanger;nature;Jardin d'inspiration japonaise avec arrangements minéraux, ponts et espaces de méditation. Havre de tranquillité.;free;1;morning;tanger,japanese garden,meditation,peace,landscaping;Atmosphère silencieuse. Parfait pour la lecture ou la contemplation.;
TAN064;Musée du Jouet;Tanger;culture;Collection de jouets traditionnels marocains et internationaux du 19ème et 20ème siècle. Nostalgie et histoire du jeu.;low;1.5;afternoon;tanger,toys,nostalgia,history,children;Idéal pour les familles. Certains jouets sont interactifs.;
TAN065;Port de Pêche;Tanger;shopping;Port traditionnel où les pêcheurs débarquent leur prise quotidienne. Ambiance authentique et possibilité d'acheter du poisson ultra-frais.;low;1;morning;tanger,fishing port,fresh fish,local,authentic;Arrivez tôt pour voir les bateaux rentrer. Prix très intéressants pour le poisson frais.;
TAN066;Parc des Papillons;Tanger;nature;Serre tropicale abritant des centaines de papillons exotiques volant en liberté dans un jardin luxuriant.;medium;1.5;morning;tanger,butterflies,tropical,garden,insects;Température chaude à l'intérieur. Les papillons sont plus actifs le matin.;
TAN067;Galerie de Calligraphie;Tanger;culture;Atelier-galerie spécialisé dans la calligraphie arabe, avec démonstrations et œuvres à vendre.;free;1;afternoon;tanger,calligraphy,arabic,art,workshop;Démonstrations impressionnantes. Cours d'initiation disponibles.;
TAN068;Plage des Surfers;Tanger;nature;Spot de surf réputé avec vagues constantes. Écoles de surf et location de matériel sur place.;medium;2.5;morning;tanger,surf,beach,sports,lessons;Location d'équipement disponible. Cours pour tous niveaux. Vagues plus calmes le matin.;
TAN069;Musée de la Musique;Tanger;culture;Musée consacré aux instruments de musique traditionnels marocains, avec démonstrations sonores et historique des styles musicaux.;low;1.5;afternoon;tanger,music,instruments,tradition,sound;Démonstrations interactives. Essayez certains instruments simples.;
TAN070;Marché aux Livres;Tanger;shopping;Marché aux livres d'occasion avec ouvrages en français, arabe, espagnol et anglais. Chasse aux trésors littéraires.;low;1.5;afternoon;tanger,books,second hand,literature,bargain;Cherchez dans les cartons sous les étals. Négociation possible sur les lots.;
TAN071;Parc Aventure;Tanger;nature;Parcours acrobatique dans les arbres avec tyroliennes, ponts de singe et autres défis. Pour adrénaline et plaisir.;high;2.5;morning;tanger,adventure park,zipline,treetop,thrill;Équipement fourni. Convient aux enfants à partir de 6 ans. Réservation recommandée.;
TAN072;Atelier de Poterie;Tanger;culture;Atelier où l'on peut participer à des cours de poterie et créer ses propres objets en céramique.;medium;2;afternoon;tanger,pottery,workshop,creative,hands-on;Réservation nécessaire. Les créations sont cuites et peuvent être récupérées quelques jours après.;
TAN073;Jardin Méditerranéen;Tanger;nature;Jardin paysager présentant la flore typique du bassin méditerranéen, avec étiquetage botanique éducatif.;free;1.5;morning;tanger,mediterranean,garden,plants,botanical;Excellente documentation sur les plantes. Parfait pour les amateurs de botanique.;
TAN074;Boutique de Parfums;Tanger;shopping;Boutique artisanale créant des parfums à base d'ingrédients naturels locaux : rose, jasmin, orange, cèdre.;high;1;afternoon;tanger,perfume,fragrance,artisanal,scents;Créez votre propre fragrance. Atelier de création sur réservation.;
TAN075;Centre Équestre;Tanger;nature;Centre équestre proposant des balades à cheval le long de la plage et dans la forêt voisine.;high;2;morning;tanger,horse riding,beach,forest,animals;Convient aux débutants. Réservation nécessaire. Équipement fourni.;
TAN076;Galerie de Photographie;Tanger;culture;Galerie spécialisée dans la photographie artistique, présentant des travaux de photographes marocains et internationaux.;free;1;afternoon;tanger,photography,gallery,art,exhibitions;Expositions temporaires de qualité. Certaines œuvres sont en vente.;
TAN077;Marché Artisanal;Tanger;shopping;Marché regroupant des artisans de toute la région présentant leurs créations : bois sculpté, cuir, vannerie, bijoux.;medium;2;afternoon;tanger,crafts,artisans,handmade,local;Rencontrez les artisans. Qualité supérieure aux souks touristiques.;
TAN078;Parc Floral;Tanger;nature;Parc paysager avec massifs de fleurs thématiques, roseraie et collections de plantes à fleurs spectaculaires.;low;1.5;morning;tanger,flowers,rose garden,landscaping,color;Meilleure visite au printemps. Parfait pour la photographie de fleurs.;
TAN079;Musée des Sciences;Tanger;culture;Musée interactif consacré aux sciences naturelles et physiques, avec expériences pratiques pour tous les âges.;medium;2;all day;tanger,science,museum,interactive,education;Idéal pour les enfants. Nombreuses activités pratiques.;
TAN080;Circuit Culinaire;Tanger;shopping;Visite guidée des meilleures échoppes et restaurants de la médina pour découvrir la gastronomie marocaine authentique.;high;3;evening;tanger,food tour,gastronomy,tasting,culinary;Arrivez avec l'estomac vide. Goûtez des spécialités que vous ne trouveriez pas seul.;
TAN081;Jardin des Sens;Tanger;nature;Jardin spécialement conçu pour les malvoyants, avec plantes aromatiques et textures variées pour une expérience sensorielle.;free;1;morning;tanger,sensory garden,aromatic,texture,accessible;Expérience unique. Description en braille disponible.;
TAN082;Atelier de Mosaïque;Tanger;culture;Atelier où l'on apprend les techniques traditionnelles de la mosaïque marocaine (zellige). Création de petits objets souvenirs.;medium;2;afternoon;tanger,mosaic,workshop,zellige,craft;Réservation nécessaire. Les pièces créées font d'excellents souvenirs.;
TAN083;Plage de Sable d'Or;Tanger;nature;Plage nommée pour la couleur dorée de son sable fin. Eaux calmes et paysage préservé.;free;2;morning;tanger,beach,golden sand,calm,pristine;Moins fréquentée que les plages centrales. Parfaite pour la détente.;
TAN084;Musée de l'Automobile;Tanger;histoire;Collection de voitures anciennes ayant appartenu à des personnalités de Tanger ou illustrant l'histoire automobile locale.;medium;1.5;afternoon;tanger,cars,vintage,automotive,history;Collection privée bien présentée. Belles pièces des années 1920-1960.;
TAN085;Circuit Historique;Tanger;culture;Visite guidée des principaux sites historiques de Tanger, des périodes phénicienne à contemporaine.;medium;3;morning;tanger,history tour,guided,heritage,culture;Guide professionnel recommandé. Bonne introduction à l'histoire complexe de la ville.;
TAN086;Jardin Tropical;Tanger;nature;Serre et jardin extérieur présentant des plantes tropicales et exotiques adaptées au climat méditerranéen.;low;1.5;morning;tanger,tropical plants,greenhouse,exotic,garden;Humidité élevée dans les serres. Plantes spectaculaires et rares.;
TAN087;Boutique de Thé;Tanger;shopping;Boutique spécialisée dans les thés marocains et internationaux, avec dégustation et conseils d'experts.;medium;1;afternoon;tanger,tea,tasting,specialty,brewing;Dégustation gratuite. Apprenez l'art du thé à la menthe.;
TAN088;Parc Canin;Tanger;nature;Parc spécialement aménagé pour les chiens, avec espace de jeux et obstacles. Socialisation canine contrôlée.;free;1;morning;tanger,dog park,pets,animals,socialization;Pour chiens vaccinés et sociables. Eau disponible sur place.;
TAN089;Atelier de Cuir;Tanger;culture;Atelier traditionnel de maroquinerie où l'on peut voir la fabrication de sacs, ceintures et autres articles en cuir.;low;1;morning;tanger,leather,workshop,craft,bags;Qualité du cuir variable. Produits faits sur mesure possibles.;
TAN090;Plage des Dunes;Tanger;nature;Plage caractérisée par ses dunes de sable mobiles. Paysage changeant au gré des vents.;free;1.5;evening;tanger,beach,dunes,sand,wind;Attention au vent qui peut être fort. Paysage spectaculaire au coucher du soleil.;
TAN091;Musée de la Céramique;Tanger;culture;Musée consacré à l'histoire et aux techniques de la céramique marocaine, des poteries berbères aux faïences de Fès.;low;1.5;afternoon;tanger,ceramics,pottery,history,techniques;Évolution fascinante des styles et techniques. Certaines pièces sont très anciennes.;
TAN092;Circuit Architectural;Tanger;culture;Découverte des différents styles architecturaux de Tanger : mauresque, art déco, colonial, moderne.;free;2.5;afternoon;tanger,architecture,walking tour,styles,buildings;Carte des bâtiments remarquables disponible. Meilleure lumière en fin d'après-midi.;
TAN093;Jardin des Cactus;Tanger;nature;Collection de cactus et plantes succulentes du Maroc et d'ailleurs, dans un jardin paysager spécialement aménagé.;free;1;morning;tanger,cactus,succulents,garden,drought tolerant;Plantes adaptées au climat aride. Étonnante variété de formes et de tailles.;
TAN094;Atelier de Broderie;Tanger;culture;Atelier où des artisanes réalisent des broderies traditionnelles marocaines selon des motifs et techniques ancestrales.;low;1;morning;tanger,embroidery,needlework,traditional,women;Démonstrations patientes. Produits finis de grande qualité.;
TAN095;Plage des Rochers;Tanger;nature;Plage rocheuse idéale pour la pêche à pied et l'observation des petites créatures marines à marée basse.;free;1.5;low tide;tanger,rocky beach,tide pools,marine life,exploring;Chaussures aquatiques recommandées. Observez sans toucher l'écosystème fragile.;
TAN096;Musée de la Navigation;Tanger;histoire;Musée retraçant l'histoire maritime de Tanger, des navigateurs phéniciens au port moderne.;medium;2;afternoon;tanger,maritime,navigation,history,ships;Maquettes de bateaux impressionnantes. Histoire du détroit de Gibraltar.;
TAN097;Circuit Littéraire;Tanger;culture;Visite des lieux fréquentés par les écrivains célèbres ayant vécu à Tanger : Bowles, Burroughs, Ginsberg.;medium;2.5;morning;tanger,literature,writers,history,culture;Guide spécialisé recommandé. Lecture préalable des auteurs ajoute à l'expérience.;
TAN098;Jardin des Herbes;Tanger;nature;Jardin de plantes médicinales et aromatiques utilisées dans la médecine traditionnelle marocaine et la cuisine.;free;1;morning;tanger,herbs,medicinal plants,aromatic,cooking;Étiquettes avec noms et usages. Ateliers sur les plantes médicinales parfois organisés.;
TAN099;Atelier de Verre;Tanger;culture;Atelier de soufflage de verre où l'on peut observer la création d'objets en verre soufflé à la bouche.;low;1;afternoon;tanger,glass blowing,workshop,craft,hot glass;Chaleur intense près du four. Démonstrations spectaculaires.;
TAN100;Plage Secrète;Tanger;nature;Petite crique cachée accessible seulement par un sentier discret. Intimité et beauté naturelle préservée.;free;2.5;all day;tanger,hidden beach,cove,secluded,privacy;Difficile à trouver sans indication. Apportez tout ce dont vous avez besoin.;
